target,reference,pair_index,pool_index,reference_minus_direct_loss
0.5,natural_mean_effect_head_pair_quadratic,0,0,0.4072977900505066
0.5,natural_mean_effect_head_pair_quadratic,0,1,-0.19618982076644897
0.5,natural_mean_effect_head_pair_quadratic,0,2,0.0
0.5,natural_mean_effect_head_pair_quadratic,0,3,-0.17390525341033936
0.5,natural_mean_effect_head_pair_quadratic,0,4,-0.05433732271194458
0.5,natural_mean_effect_head_pair_quadratic,0,5,0.7824498414993286
0.5,natural_mean_effect_head_pair_quadratic,0,6,0.24647259712219238
0.5,natural_mean_effect_head_pair_quadratic,0,7,0.0
0.5,natural_mean_effect_head_pair_quadratic,0,8,0.04740309715270996
0.5,natural_mean_effect_head_pair_quadratic,0,9,0.15251314640045166
0.5,natural_mean_effect_head_pair_quadratic,0,10,0.6070775985717773
0.5,natural_mean_effect_head_pair_quadratic,0,11,0.30351507663726807
0.5,natural_mean_effect_head_pair_quadratic,0,12,0.10564655065536499
0.5,natural_mean_effect_head_pair_quadratic,0,13,0.5117042064666748
0.5,natural_mean_effect_head_pair_quadratic,0,14,0.7173258662223816
0.5,natural_mean_effect_head_pair_quadratic,0,15,0.470215380191803
0.5,natural_mean_effect_head_pair_quadratic,0,16,-0.11726564168930054
0.5,natural_mean_effect_head_pair_quadratic,0,17,0.21142196655273438
0.5,natural_mean_effect_head_pair_quadratic,0,18,0.0
0.5,natural_mean_effect_head_pair_quadratic,0,19,-0.5761712789535524
0.5,natural_mean_effect_head_pair_quadratic,0,20,0.10746222734451294
0.5,natural_mean_effect_head_pair_quadratic,0,21,0.3913766145706177
0.5,natural_mean_effect_head_pair_quadratic,0,22,0.2017524242401123
0.5,natural_mean_effect_head_pair_quadratic,0,23,0.07052385807037354
0.5,natural_mean_effect_head_pair_quadratic,0,24,0.9852067828178406
0.5,natural_mean_effect_head_pair_quadratic,0,25,0.22327762842178345
0.5,natural_mean_effect_head_pair_quadratic,0,26,0.5290302038192749
0.5,natural_mean_effect_head_pair_quadratic,0,27,0.5689248442649841
0.5,natural_mean_effect_head_pair_quadratic,0,28,0.0
