observer,target_pairs,prevalence,audit_fraction,auroc,violations_mean,outcome_lower_95,outcome_upper_95
source-frozen,0,0.01,0.02,0.29280299745635335,15.0,15.0,15.0
source-frozen,0,0.05,0.02,0.29280299745635335,73.994,74.0,74.0
target-native,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
target-native,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
target-raw-prompt,0,0.01,0.02,0.8755166782286969,12.1535,9.0,15.0
target-raw-prompt,0,0.05,0.02,0.8755166782286969,62.831,58.0,68.0
refit-p8-s9120,8,0.01,0.02,0.9348840906463175,5.5125,2.0,9.0
refit-p8-s9120,8,0.05,0.02,0.9348840906463175,47.7025,45.0,51.0
refit-p32-s9120,32,0.01,0.02,0.9391114579720199,5.115,2.0,9.0
refit-p32-s9120,32,0.05,0.02,0.9391114579720199,45.5945,45.0,49.0
refit-p128-s9120,128,0.01,0.02,0.9339627413573823,5.173,2.0,9.0
refit-p128-s9120,128,0.05,0.02,0.9339627413573823,46.4,45.0,49.0
refit-p512-s9120,512,0.01,0.02,0.9402243033876749,5.2425,2.0,9.0
refit-p512-s9120,512,0.05,0.02,0.9402243033876749,45.2455,45.0,48.0
refit-p700-s9120,700,0.01,0.02,0.9400960371141173,5.169,2.0,9.0
refit-p700-s9120,700,0.05,0.02,0.9400960371141173,45.2755,45.0,48.0
refit-p8-s9121,8,0.01,0.02,0.9084214938143138,10.3245,7.0,13.0
refit-p8-s9121,8,0.05,0.02,0.9084214938143138,58.175,53.0,63.0
refit-p32-s9121,32,0.01,0.02,0.9214179384899989,8.7245,5.0,12.0
refit-p32-s9121,32,0.05,0.02,0.9214179384899989,55.9185,51.0,61.0
refit-p128-s9121,128,0.01,0.02,0.9400689386056191,5.1035,2.0,9.0
refit-p128-s9121,128,0.05,0.02,0.9400689386056191,45.373,45.0,48.0
refit-p512-s9121,512,0.01,0.02,0.9401719129379119,5.0965,2.0,9.0
refit-p512-s9121,512,0.05,0.02,0.9401719129379119,45.2675,45.0,48.0
refit-p700-s9121,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
refit-p700-s9121,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
refit-p8-s9122,8,0.01,0.02,0.8973978205572899,10.7735,7.0,14.0
refit-p8-s9122,8,0.05,0.02,0.8973978205572899,60.495,55.0,66.0
refit-p32-s9122,32,0.01,0.02,0.936116169499364,6.0535,3.0,10.0
refit-p32-s9122,32,0.05,0.02,0.936116169499364,47.3285,45.0,51.0
refit-p128-s9122,128,0.01,0.02,0.9387067869117817,5.521,2.0,9.0
refit-p128-s9122,128,0.05,0.02,0.9387067869117817,47.106,45.0,50.0
refit-p512-s9122,512,0.01,0.02,0.940497095039889,5.0605,2.0,9.0
refit-p512-s9122,512,0.05,0.02,0.940497095039889,45.239,45.0,48.0
refit-p700-s9122,700,0.01,0.02,0.9404103798126952,5.088,2.0,9.0
refit-p700-s9122,700,0.05,0.02,0.9404103798126952,45.2255,45.0,48.0
